Date,"non-OPEC Production change (million barrels per day change, year on year)",WTI Real Price (GDP Deflated),Price 1 Quarter Shift,Price 2 Quarter Shift,Price 3 Quarter Shift,Price 4 Quarter Shift
2001-01-01,0.72,34.91,33.67,32.1,24.52,25.86
2001-04-01,0.48,33.67,32.1,24.52,25.86,31.27
2001-07-01,0.59,32.1,24.52,25.86,31.27,33.53
2001-10-01,0.64,24.52,25.86,31.27,33.53,33.3
2002-01-01,0.8,25.86,31.27,33.53,33.3,39.89
2002-04-01,1.56,31.27,33.53,33.3,39.89,33.84
2002-07-01,0.74,33.53,33.3,39.89,33.84,35.09
2002-10-01,0.74,33.3,39.89,33.84,35.09,36
2003-01-01,1.14,39.89,33.84,35.09,36,40.49
2003-04-01,0.29,33.84,35.09,36,40.49,43.56
2003-07-01,1.28,35.09,36,40.49,43.56,49.53
2003-10-01,1.62,36,40.49,43.56,49.53,53.97
2004-01-01,1.19,40.49,43.56,49.53,53.97,55.52
2004-04-01,1.72,43.56,49.53,53.97,55.52,58.66
2004-07-01,0.87,49.53,53.97,55.52,58.66,69.28
2004-10-01,0.49,53.97,55.52,58.66,69.28,65.12
2005-01-01,0.14,55.52,58.66,69.28,65.12,68.24
2005-04-01,0.55,58.66,69.28,65.12,68.24,75.29
2005-07-01,-0.34,69.28,65.12,68.24,75.29,74.83
2005-10-01,-0.75,65.12,68.24,75.29,74.83,63.33
2006-01-01,-0.16,68.24,75.29,74.83,63.33,60.76
2006-04-01,-0.44,75.29,74.83,63.33,60.76,67.55
2006-07-01,1.2,74.83,63.33,60.76,67.55,77.88
2006-10-01,1.04,63.33,60.76,67.55,77.88,93.33
2007-01-01,0.58,60.76,67.55,77.88,93.33,100.39
2007-04-01,0.59,67.55,77.88,93.33,100.39,126.52
2007-07-01,-0.18,77.88,93.33,100.39,126.52,119.99
2007-10-01,0.12,93.33,100.39,126.52,119.99,59.42
2008-01-01,0.02,100.39,126.52,119.99,59.42,43.67
2008-04-01,-0.06,126.52,119.99,59.42,43.67,60.42
2008-07-01,-0.15,119.99,59.42,43.67,60.42,68.96
2008-10-01,-0.05,59.42,43.67,60.42,68.96,76.71
2009-01-01,0.28,43.67,60.42,68.96,76.71,79.34
2009-04-01,0.58,60.42,68.96,76.71,79.34,77.98
2009-07-01,1.38,68.96,76.71,79.34,77.98,75.95
2009-10-01,1.38,76.71,79.34,77.98,75.95,84.61
2010-01-01,1.64,79.34,77.98,75.95,84.61,92.93
2010-04-01,1.89,77.98,75.95,84.61,92.93,100.07
2010-07-01,1.66,75.95,84.61,92.93,100.07,87.32
2010-10-01,1.74,84.61,92.93,100.07,87.32,91.68
2011-01-01,0.97,92.93,100.07,87.32,91.68,99.71
2011-04-01,0.25,100.07,87.32,91.68,99.71,89.99
2011-07-01,0.26,87.32,91.68,99.71,89.99,88.36
2011-10-01,0.29,91.68,99.71,89.99,88.36,84.02
2012-01-01,0.86,99.71,89.99,88.36,84.02,89.7
2012-04-01,0.68,89.99,88.36,84.02,89.7,89.17
2012-07-01,0.52,88.36,84.02,89.7,89.17,99.8
2012-10-01,1.17,84.02,89.7,89.17,99.8,91.43
2013-01-01,0.62,89.7,89.17,99.8,91.43,92.16
2013-04-01,1.56,89.17,99.8,91.43,92.16,95.97
2013-07-01,2.37,99.8,91.43,92.16,95.97,90.47
2013-10-01,1.96,91.43,92.16,95.97,90.47,67.63
2014-01-01,2.33,92.16,95.97,90.47,67.63,44.79
2014-04-01,2.62,95.97,90.47,67.63,44.79,53.15
2014-07-01,2.38,90.47,67.63,44.79,53.15,42.66
2014-10-01,2.77,67.63,44.79,53.15,42.66,38.43
2015-01-01,2.42,44.79,53.15,42.66,38.43,30.58
2015-04-01,1.58,53.15,42.66,38.43,30.58,41.41
2015-07-01,1.4,42.66,38.43,30.58,41.41,40.73
2015-10-01,0.43,38.43,30.58,41.41,40.73,44.42
2016-01-01,-0.08,30.58,41.41,40.73,44.42,46.4
2016-04-01,-0.92,41.41,40.73,44.42,46.4,43.09
2016-07-01,-1.13,40.73,44.42,46.4,43.09,42.9
2016-10-01,-0.54,44.42,46.4,43.09,42.9,48.91
2017-01-01,-0.03,46.4,43.09,42.9,48.91,55.34
2017-04-01,0.9,43.09,42.9,48.91,55.34,59.42
2017-07-01,1.01,42.9,48.91,55.34,59.42,60.57
2017-10-01,0.98,48.91,55.34,59.42,60.57,51.54
2018-01-01,1.76,55.34,59.42,60.57,51.54,47.28
2018-04-01,2.56,59.42,60.57,51.54,47.28,51.35
2018-07-01,3.48,60.57,51.54,47.28,51.35,48.16
2018-10-01,3.51,51.54,47.28,51.35,48.16,48.41
2019-01-01,2.36,47.28,51.35,48.16,48.41,38.45
2019-04-01,2.07,51.35,48.16,48.41,38.45,23.8
2019-07-01,1.51,48.16,48.41,38.45,23.8,34.5
2019-10-01,1.81,48.41,38.45,23.8,34.5,35.66
2020-01-01,2.42,38.45,23.8,34.5,35.66,48.23
2020-04-01,-3.91,23.8,34.5,35.66,48.23,54.15
2020-07-01,-3.91,34.5,35.66,48.23,54.15,56.93
2020-10-01,-4.64,35.66,48.23,54.15,56.93,61.24
2021-01-01,-4.65,48.23,54.15,56.93,61.24,74.6
2021-04-01,2.54,54.15,56.93,61.24,74.6,79
2021-07-01,2.31,56.93,61.24,74.6,79,76.02
2021-10-01,2.83,61.24,74.6,79,76.02,73.24
2022-01-01,3.01,74.6,79,76.02,73.24,70.74
2022-04-01,1.68,79,76.02,73.24,70.74,67.77
2022-07-01,2.02,76.02,73.24,70.74,67.77,65.1
2022-10-01,1.37,73.24,70.74,67.77,65.1,62.46
2023-01-01,1.4,70.74,67.77,65.1,62.46,
2023-04-01,1.99,67.77,65.1,62.46,,
2023-07-01,1.38,65.1,62.46,,,
2023-10-01,1.06,62.46,,,,
