OPEC Total Crude Oil Production Capacity Monthly,
https://www.eia.gov/opendata/qb.php?category=1039871&sdid=STEO.COPC_OPEC.M,
22:57:29 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,Series ID: STEO.COPC_OPEC.M million barrels per day
Dec-23,32.81
Nov-23,32.82
Oct-23,32.83
Sep-23,32.84
Aug-23,32.85
Jul-23,32.86
Jun-23,32.87
May-23,32.88
Apr-23,32.9
Mar-23,32.89
Feb-23,32.88
Jan-23,32.87
Dec-22,32.65
Nov-22,32.67
Oct-22,32.68
Sep-22,32.28
Aug-22,32.28
Jul-22,32.29
Jun-22,32.2
May-22,32.21
Apr-22,32.22
Mar-22,31.82
Feb-22,31.98
Jan-22,31.68
Dec-21,31.84
Nov-21,31.83
Oct-21,31.81
Sep-21,31.76
Aug-21,31.64
Jul-21,31.86
Jun-21,31.84
May-21,31.795
Apr-21,31.71
Mar-21,31.71
Feb-21,31.62
Jan-21,31.15
Dec-20,31.31
Nov-20,31.32
Oct-20,30.77
Sep-20,30.51
Aug-20,30.59
Jul-20,30.705
Jun-20,30.87
May-20,31.127917
Apr-20,31.25
Mar-20,30.905
Feb-20,30.77
Jan-20,31.49
Dec-19,31.455
Nov-19,30.964586
Oct-19,30.855
Sep-19,29.295
Aug-19,31.755
Jul-19,31.715
Jun-19,31.815
May-19,31.835
Apr-19,32.155
Mar-19,32.135
Feb-19,32.081
Jan-19,32.126
Dec-18,31.946
Nov-18,32.256
Oct-18,32.896
Sep-18,32.936
Aug-18,32.875
Jul-18,32.652
Jun-18,32.785
May-18,33.118
Apr-18,33.283
Mar-18,33.339
Feb-18,33.386
Jan-18,33.496
Dec-17,33.757
Nov-17,33.891
Oct-17,34.11
Sep-17,34.125
Aug-17,34.087
Jul-17,34.185
Jun-17,33.915
May-17,33.729
Apr-17,33.366
Mar-17,33.31
Feb-17,33.592
Jan-17,33.53
Dec-16,33.53
Nov-16,33.571345
Oct-16,33.239
Sep-16,32.966
Aug-16,32.874
Jul-16,32.98
Jun-16,33.06468
May-16,32.830723
Apr-16,33.126345
Mar-16,32.879723
Feb-16,32.806
Jan-16,33.04
Dec-15,32.733882
Nov-15,32.79601
Oct-15,32.621723
Sep-15,32.747
Aug-15,32.617723
Jul-15,32.761
Jun-15,32.493
May-15,32.242
Apr-15,32.252
Mar-15,32.117765
Feb-15,31.685
Jan-15,31.887
Dec-14,32.298882
Nov-14,31.97702
Oct-14,32.514
Sep-14,32.40436
Aug-14,32.088765
Jul-14,31.741445
Jun-14,31.690178
May-14,31.611
Apr-14,31.40868
Mar-14,31.573042
Feb-14,31.818513
Jan-14,31.632723
Dec-13,31.329723
Nov-13,31.142345
Oct-13,31.650723
Sep-13,31.388345
Aug-13,32.102
Jul-13,32.237553
Jun-13,32.321475
May-13,32.741445
Apr-13,32.876345
Mar-13,32.724882
Feb-13,32.560513
Jan-13,32.677042
Dec-12,32.762882
Nov-12,32.88
Oct-12,32.744042
Sep-12,33.202
Aug-12,33.181723
Jul-12,33.100042
Jun-12,33.209675
May-12,33.401622
Apr-12,33.600675
Mar-12,33.356882
Feb-12,33.224564
Jan-12,33.133459
Dec-11,33.274882
Nov-11,33.292345
Oct-11,32.787882
Sep-11,32.863345
Aug-11,32.596042
Jul-11,32.662361
Jun-11,32.574843
May-11,32.628202
Apr-11,32.53901
Mar-11,32.693202
Feb-11,33.89208
Jan-11,34.366521
Dec-10,34.067
Nov-10,33.932
Oct-10,34.001
Sep-10,34.015
Aug-10,34.035
Jul-10,34.065
Jun-10,34.319
May-10,34.233
Apr-10,34.238
Mar-10,33.949
Feb-10,34.086
Jan-10,34.137
Dec-09,33.903
Nov-09,33.821
Oct-09,33.785
Sep-09,33.741
Aug-09,33.226
Jul-09,32.73
Jun-09,32.456
May-09,32.325
Apr-09,32.3
Mar-09,32.104
Feb-09,32.21
Jan-09,32.263484
Dec-08,32.17
Nov-08,32.122
Oct-08,32.286
Sep-08,32.195806
Aug-08,32.292499
Jul-08,32.388362
Jun-08,32.277229
May-08,32.247366
Apr-08,32.188408
Mar-08,32.380451
Feb-08,32.169493
Jan-08,32.035535
Dec-07,32.099577
Nov-07,31.47462
Oct-07,31.855329
Sep-07,31.778582
Aug-07,31.396596
Jul-07,31.478305
Jun-07,31.257305
May-07,31.450305
Apr-07,31.625
Mar-07,31.417
Feb-07,31.438
Jan-07,31.149
Dec-06,31.39
Nov-06,31.363
Oct-06,31.447
Sep-06,31.477
Aug-06,31.548
Jul-06,31.446
Jun-06,31.336
May-06,31.028
Apr-06,31.16
Mar-06,31.157
Feb-06,31.132
Jan-06,31.1432
Dec-05,31.338278
Nov-05,31.429444
Oct-05,31.475285
Sep-05,31.722521
Aug-05,31.443775
Jul-05,31.484214
Jun-05,31.336941
May-05,31.226666
Apr-05,31.149578
Mar-05,31.184681
Feb-05,31.036292
Jan-05,30.933197
Dec-04,30.292
Nov-04,30.095
Oct-04,30.617
Sep-04,30.592
Aug-04,30.076
Jul-04,30.339
Jun-04,29.963
May-04,30.047
Apr-04,30.451
Mar-04,30.346
Feb-04,30.153
Jan-04,30.254
Dec-03,29.915202
Nov-03,29.665589
Oct-03,29.605975
Sep-03,29.207975
Aug-03,28.767362
Jul-03,28.259878
Jun-03,28.097749
May-03,27.859523
Apr-03,27.293232
Mar-03,28.249329
Feb-03,29.034
Jan-03,28.194
Dec-02,29.326943
Nov-02,31.278895
Oct-02,31.278895
Sep-02,31.278895
Aug-02,31.278895
Jul-02,31.278895
Jun-02,31.278895
May-02,31.278895
Apr-02,31.278895
Mar-02,31.278895
Feb-02,31.278895
Jan-02,31.278895
Dec-01,31.415851
Nov-01,31.415851
Oct-01,31.415851
Sep-01,31.415851
Aug-01,31.415851
Jul-01,31.415851
Jun-01,31.415851
May-01,31.415851
Apr-01,31.415851
Mar-01,31.415851
Feb-01,31.415851
Jan-01,31.415851
Dec-00,31.236635
Nov-00,31.236635
Oct-00,31.236635
Sep-00,31.236635
Aug-00,31.236635
Jul-00,31.236635
Jun-00,31.236635
May-00,31.236635
Apr-00,31.236635
Mar-00,31.236635
Feb-00,31.236635
Jan-00,31.236635
Dec-99,31.458502
Nov-99,31.458502
Oct-99,31.458502
Sep-99,31.458502
Aug-99,31.458502
Jul-99,31.458502
Jun-99,31.458502
May-99,31.458502
Apr-99,31.458502
Mar-99,31.458502
Feb-99,31.458502
Jan-99,31.458502
Dec-98,30.927969
Nov-98,30.927969
Oct-98,30.927969
Sep-98,30.927969
Aug-98,30.927969
Jul-98,30.927969
Jun-98,30.927969
May-98,30.927969
Apr-98,30.927969
Mar-98,30.927969
Feb-98,30.927969
Jan-98,30.927969
Dec-97,29.597585
Nov-97,29.597585
Oct-97,29.597585
Sep-97,29.597585
Aug-97,29.597585
Jul-97,29.597585
Jun-97,29.597585
May-97,29.597585
Apr-97,29.597585
Mar-97,29.597585
Feb-97,29.597585
Jan-97,29.597585
Dec-96,28.083065
Nov-96,28.083065
Oct-96,28.083065
Sep-96,28.083065
Aug-96,28.083065
Jul-96,28.083065
Jun-96,28.083065
May-96,28.083065
Apr-96,28.083065
Mar-96,28.083065
Feb-96,28.083065
Jan-96,28.083065
Dec-95,27.797695
Nov-95,27.797695
Oct-95,27.797695
Sep-95,27.797695
Aug-95,27.797695
Jul-95,27.797695
Jun-95,27.797695
May-95,27.797695
Apr-95,27.797695
Mar-95,27.797695
Feb-95,27.797695
Jan-95,27.797695
Dec-94,27.959177
Nov-94,27.959177
Oct-94,27.959177
Sep-94,27.959177
Aug-94,27.959177
Jul-94,27.908564
Jun-94,27.959177
May-94,27.959177
Apr-94,27.959177
Mar-94,27.959177
Feb-94,27.959177
Jan-94,27.959177
Dec-93,26.924623
Nov-93,26.924623
Oct-93,26.924623
Sep-93,26.924623
Aug-93,26.924623
Jul-93,27.024741
Jun-93,26.924623
May-93,26.924623
Apr-93,26.924623
Mar-93,26.924623
Feb-93,26.924623
Jan-93,26.924623
Dec-92,25.013859
Nov-92,25.013859
Oct-92,25.013859
Sep-92,25.013859
Aug-92,25.013859
Jul-92,24.75702
Jun-92,25.013859
May-92,25.013859
Apr-92,25.013859
Mar-92,25.013859
Feb-92,25.013859
Jan-92,25.013859
Dec-91,23.473034
Nov-91,23.452759
Oct-91,23.381797
Sep-91,23.25001
Aug-91,23.143568
Jul-91,23.113156
Jun-91,22.970711
May-91,22.894681
Apr-91,22.741059
Mar-91,22.536229
Feb-91,22.536229
Jan-91,22.842954
Dec-90,23.043343
Nov-90,25.121741
Oct-90,25.121741
Sep-90,23.798817
Aug-90,21.607634
Jul-90,28.003658
Jun-90,27.754736
May-90,27.998959
Apr-90,28.167217
Mar-90,28.225707
Feb-90,28.02119
Jan-90,27.318876
